set time;sample number;sample number dy;sample number dz;ax;ay;az;day;daz;dyAvg;dzAvg;grade;GPS distance;latitude;longitude;hspeed
1639610587.0589426;0;0;0;9.8449572265625;0.16639701538085935;0.040701428222656245;-0.009576806640625019;0.009576806640624998;0;0;0;0;0.0;0.0;0
1639610587.1589425;0;0;0;9.854534033203125;0.16041151123046873;0.025139117431640625;-0.005985504150390619;-0.01556231079101562;0;0;0;0;0.0;0.0;0
1639610587.2589424;0;0;0;9.849745629882811;0.3016694091796875;0.0143652099609375;0.14125789794921875;-0.010773907470703125;0;0;0;0;0.0;0.0;0
1639610587.3589423;0;0;0;9.847351428222655;0.18076222534179687;0.03232172241210937;-0.12090718383789062;0.01795651245117187;0;0;0;0;0.0;0.0;0
1639610587.4589422;0;0;0;9.835380419921874;0.16639701538085935;0.022744915771484374;-0.014365209960937514;-0.009576806640624998;0;0;0;0;0.0;0.0;0
1639610587.558942;0;0;0;9.849745629882811;0.01915361328125;0.04908113403320312;-0.14724340209960934;0.026336218261718745;0;0;0;0;0.0;0.0;0
1639610587.658942;0;0;0;9.860519537353515;0.16998831787109375;0.058657940673828124;0.15083470458984374;0.009576806640625005;0;0;0;0;0.0;0.0;0
1639610587.758942;0;0;0;9.853336932373047;0.17357962036132812;0.04548983154296875;0.0035913024902343715;-0.013168109130859376;0;0;0;0;0.0;0.0;0
1639610587.8589418;0;0;0;9.849745629882811;0.17118541870117188;0.013168109130859374;-0.0023942016601562477;-0.03232172241210937;0;0;0;0;0.0;0.0;0
1639610587.9589417;0;0;0;9.859322436523437;0.15442600708007811;0.031124621582031248;-0.01675941162109376;0.01795651245117187;0;0;0;0;0.0;0.0;0
1639610588.0589416;1;1;1;9.868899243164062;0.16639701538085935;0.0430956298828125;0.011971008300781238;0.011971008300781252;3.9903361002604126e-05;3.9903361002604174e-05;3.9903361002604174e-05;0.089;52.461336333;16.908536333;0.089
1639610588.1589415;1;1;1;9.865307940673828;0.16879121704101563;0.0383072265625;0.0023942016601562754;-0.004788403320312502;3.9903361002604126e-05;3.9903361002604174e-05;3.9903361002604174e-05;0.089;52.461336333;16.908536333;0.089
1639610588.2589414;1;1;1;9.849745629882811;0.16280571289062498;0.033518823242187495;-0.005985504150390647;-0.004788403320312502;3.9903361002604126e-05;3.9903361002604174e-05;3.9903361002604174e-05;0.089;52.461336333;16.908536333;0.089
1639610588.3589413;1;1;1;9.823409411621093;0.15442600708007811;0.02633621826171875;-0.008379705810546867;-0.0071826049804687465;3.9903361002604126e-05;3.9903361002604174e-05;3.9903361002604174e-05;0.089;52.461336333;16.908536333;0.089
1639610588.4589412;1;1;1;9.841365924072266;0.16280571289062498;0.028730419921875;0.008379705810546867;0.002394201660156251;3.9903361002604126e-05;3.9903361002604174e-05;3.9903361002604174e-05;0.089;52.461336333;16.908536333;0.089
1639610588.5589411;1;1;1;9.86411083984375;0.16160861206054686;0.03591302490234375;-0.0011971008300781238;0.00718260498046875;3.9903361002604126e-05;3.9903361002604174e-05;3.9903361002604174e-05;0.089;52.461335;16.908539833;0.108
1639610588.658941;2;2;2;9.865307940673828;0.30526071166992186;0.062249243164062495;0.143652099609375;0.026336218261718745;0.0005187436930338542;0.00012769075520833333;0.00012769075520833333;0.197;52.461335;16.908539833;0.108
1639610588.758941;3;3;3;9.855731134033203;0.1640028137207031;0.03232172241210937;-0.14125789794921875;-0.029927520751953124;0.0009896033528645834;0.00022744915771484372;0.00022744915771484372;0.305;52.461335;16.908539833;0.108
1639610588.8589408;4;3;4;9.866505041503906;0.1592144104003906;0.08379705810546874;-0.004788403320312495;0.05147533569335937;0.0009896033528645834;0.00039903361002604164;0.00039903361002604164;0.413;52.461335;16.908539833;0.108
1639610588.9589407;5;4;5;9.85692823486328;0.16998831787109375;0.034715924072265626;0.010773907470703142;-0.04908113403320311;0.001025516377766927;0.0005626373901367187;0.0005626373901367187;0.521;52.461335;16.908539833;0.108
1639610589.0589406;6;5;6;9.891644158935547;0.15562310791015624;0.015562310791015624;-0.014365209960937514;-0.019153613281250002;0.001073400410970052;0.0006264827677408853;0.0006264827677408853;0.629;52.461335;16.908539833;0.108
1639610589.1589406;7;6;7;9.873687646484374;0.18555062866210936;0.05027823486328125;0.029927520751953124;0.034715924072265626;0.0011731588134765625;0.0007422025146484374;0.0007422025146484374;0.737;52.461335;16.908539833;0.108
1639610589.2589405;8;7;8;9.860519537353515;0.1640028137207031;0.07302315063476562;-0.021547814941406257;0.022744915771484374;0.0012449848632812498;0.0008180189005533853;0.0008180189005533853;0.845;52.461335;16.908539833;0.108
1639610589.3589404;9;7;9;9.853336932373047;0.16280571289062498;0.047884033203124995;-0.0011971008300781238;-0.02513911743164063;0.0012449848632812498;0.000901815958658854;0.000901815958658854;0.953;52.461335;16.908539833;0.108
1639610589.4589403;10;7;10;9.854534033203125;0.16639701538085935;0.023942016601562498;0.0035913024902343715;-0.023942016601562498;0.0012449848632812498;0.0009816226806640626;0.0009816226806640626;1.061;52.461335;16.908539833;0.108
1639610589.5589402;10;7;10;9.861716638183593;0.14484920043945312;0.07422025146484375;-0.02154781494140623;0.05027823486328125;0.0012449848632812498;0.0009816226806640626;0.0009816226806640626;1.061;52.4613335;16.9085455;0.012
1639610589.65894;10;7;10;9.871293444824218;0.17118541870117188;0.05386953735351562;0.026336218261718752;-0.020350714111328126;0.0012449848632812498;0.0009816226806640626;0.0009816226806640626;1.061;52.4613335;16.9085455;0.012
